6,S,5
6,S,38
6,S,99
6,S,107
6,S,86
6,S,100
6,S,67
7,S,53
7,S,65
7,S,66
11,S,64
11,S,87
11,S,78
27,S,99
27,S,107
27,S,5
27,S,38
27,S,86
27,S,100
27,S,67
28,S,86
28,S,100
28,S,99
28,S,107
28,S,5
28,S,38
28,S,67
36,S,67
36,S,86
36,S,99
36,S,107
36,S,5
36,S,38
36,S,100
37,S,27
37,S,6
37,S,28
37,S,36
53,S,52
54,S,52
77,S,97
78,S,77
78,S,105
78,S,102
78,S,106
79,S,77
85,S,66
87,S,102
87,S,106
87,S,77
87,S,105
98,S,97
103,S,102
104,S,102
5,B,5
5,B,38
5,B,99
5,B,107
5,B,86
5,B,100
5,B,67
6,B,27
6,B,6
6,B,28
6,B,36
27,B,27
27,B,6
27,B,28
27,B,36
28,B,27
28,B,6
28,B,28
28,B,36
36,B,27
36,B,6
36,B,28
36,B,36
38,B,5
38,B,38
38,B,99
38,B,107
38,B,86
38,B,100
38,B,67
52,B,52
53,B,53
53,B,65
53,B,66
64,B,64
64,B,87
64,B,78
65,B,53
65,B,65
65,B,66
66,B,66
66,B,53
66,B,65
67,B,67
67,B,86
67,B,99
67,B,107
67,B,5
67,B,38
67,B,100
77,B,77
77,B,105
77,B,102
77,B,106
78,B,64
78,B,87
78,B,78
86,B,86
86,B,100
86,B,67
86,B,99
86,B,107
86,B,5
86,B,38
87,B,64
87,B,87
87,B,78
97,B,97
99,B,99
99,B,107
99,B,5
99,B,38
99,B,86
99,B,100
99,B,67
100,B,86
100,B,100
100,B,99
100,B,107
100,B,5
100,B,38
100,B,67
102,B,102
102,B,106
102,B,77
102,B,105
105,B,77
105,B,105
105,B,102
105,B,106
106,B,102
106,B,106
106,B,77
106,B,105
107,B,99
107,B,107
107,B,5
107,B,38
107,B,86
107,B,100
107,B,67
64,S,102
64,S,106
64,S,77
64,S,105
65,S,52
66,S,52
102,S,97
105,S,97
106,S,97
